id,pe_le_country_code
base.af,9013
base.al,9017
base.de,9023
base.ad,9037
base.ao,9040
base.ai,9041
base.ag,9043
base.aq,
base.sa,9053
base.dz,9059
base.ar,9063
base.am,9026
base.aw,9027
base.au,9069
base.at,9072
base.az,9074
base.bs,9077
base.bh,9080
base.bd,9081
base.bb,9083
base.bz,9088
base.bj,9229
base.bm,9090
base.bt,9119
base.by,9091
base.mm,
base.bo,9097
base.bq,
base.ba,9029
base.bw,9101
base.br,9105
base.bn,9108
base.bg,9111
base.bf,9031
base.bi,9115
base.be,9087
base.cv,9127
base.kh,9141
base.cm,9145
base.ca,9149
base.td,9203
base.cl,9211
base.cn,9215
base.cy,9221
base.co,9169
base.km,9173
base.cg,9177
base.kp,9187
base.kr,9190
base.cr,9196
base.ci,9193
base.hr,9198
base.cu,9199
base.cw,
base.dk,9232
base.dm,9235
base.um,9010
base.ec,9239
base.eg,9240
base.sv,9242
base.ae,9244
base.er,9243
base.sk,9246
base.si,9247
base.es,9245
base.ps,
base.us,9249
base.ee,9251
base.et,9253
base.ru,9676
base.fj,9870
base.ph,9267
base.fi,9271
base.fr,9275
base.ga,9281
base.gm,9285
base.ge,9287
base.gh,9289
base.gi,9293
base.gd,9297
base.gr,9301
base.gl,9305
base.gp,9309
base.gu,9313
base.gt,9317
base.gy,9337
base.gf,9325
base.gg,9327
base.gn,9329
base.gq,9331
base.gw,9334
base.ht,9341
base.nl,
base.hn,9345
base.hk,9351
base.hu,9355
base.in,9361
base.id,9365
base.iq,9369
base.ie,9375
base.ir,9372
base.bv,9001
base.nf,9535
base.im,9378
base.cx,9511
base.is,9379
base.ky,9137
base.cc,9165
base.ck,9183
base.fo,9259
base.gs,9008
base.hm,
base.fk,9003
base.mp,9469
base.mh,9472
base.pn,9593
base.sb,9677
base.tc,9823
base.vg,9863
base.vi,9866
base.ax,
base.il,9383
base.it,9386
base.jm,9391
base.jp,9399
base.je,9401
base.jo,9403
base.kz,9406
base.ke,9410
base.kg,9412
base.ki,9411
base.xk,
base.kw,9413
base.la,9420
base.ls,9426
base.lv,9429
base.lr,9434
base.ly,9438
base.li,9440
base.lt,9443
base.lu,9445
base.lb,9431
base.mo,9447
base.mk,9448
base.mg,9450
base.my,9455
base.mw,9458
base.mv,9461
base.ml,9464
base.mt,9467
base.ma,9474
base.mq,9477
base.mu,9485
base.mr,9488
base.yt,9007
base.fm,9494
base.md,9496
base.mn,9497
base.me,
base.ms,9501
base.mz,9505
base.mx,9493
base.mc,9498
base.na,9507
base.nr,9508
base.np,9517
base.ni,9521
base.ng,9528
base.nu,9531
base.no,9538
base.nc,9542
base.nz,9548
base.ne,9525
base.om,9556
base.pk,9576
base.pw,9578
base.pa,9580
base.pg,9545
base.py,9586
base.pe,9589
base.pf,9599
base.pl,9603
base.pt,9607
base.pr,9611
base.qa,9618
base.uk,9628
base.cf,9640
base.cz,9644
base.cd,
base.do,9647
base.re,9660
base.rw,9675
base.ro,9670
base.ws,9687
base.as,9690
base.bl,
base.kn,9695
base.sm,9697
base.sx,
base.mf,
base.pm,9700
base.vc,9705
base.sh,9710
base.lc,9715
base.va,9159
base.st,9720
base.sn,9728
base.rs,
base.sc,9731
base.sl,9735
base.sg,9741
base.sy,9744
base.so,9748
base.lk,9750
base.sz,9773
base.za,9756
base.sd,9759
base.ss,
base.se,9764
base.ch,9767
base.sr,9770
base.sj,9009
base.eh,9685
base.th,9776
base.tw,9218
base.tj,9774
base.tz,9780
base.io,9787
base.tf,
base.tl,9788
base.tg,9800
base.tk,9805
base.to,9810
base.tt,9815
base.tm,9825
base.tr,9827
base.tv,9828
base.tn,9820
base.ua,9830
base.ug,9833
base.uy,9845
base.uz,9847
base.vu,9551
base.ve,9850
base.vn,9855
base.wf,9875
base.ye,9880
base.dj,
base.zm,9890
base.zw,9665
